,Name,Team,Number,Position,Age,Height,Weight,College,Salary,Age_Group
76,Leandro Barbosa,Golden State Warriors,19,SG,33,179,194,Unknown,2500000,31-35
77,Harrison Barnes,Golden State Warriors,40,SF,24,176,225,North Carolina,3873398,21-25
78,Andrew Bogut,Golden State Warriors,12,C,31,158,260,Utah,13800000,31-35
79,Ian Clark,Golden State Warriors,21,SG,25,166,175,Belmont,947276,21-25
80,Stephen Curry,Golden State Warriors,30,PG,28,154,190,Davidson,11370786,26-30
81,Festus Ezeli,Golden State Warriors,31,C,26,179,265,Vanderbilt,2008748,26-30
82,Draymond Green,Golden State Warriors,23,PF,26,150,230,Michigan State,14260870,26-30
83,Andre Iguodala,Golden State Warriors,9,SF,32,166,215,Arizona,11710456,31-35
84,Shaun Livingston,Golden State Warriors,34,PG,30,176,192,Unknown,5543725,26-30
85,Kevon Looney,Golden State Warriors,36,SF,20,161,220,UCLA,1131960,15-20
86,James Michael McAdoo,Golden State Warriors,20,SF,23,176,240,North Carolina,845059,21-25
87,Brandon Rush,Golden State Warriors,4,SF,30,155,220,Kansas,1270964,26-30
88,Marreese Speights,Golden State Warriors,5,C,28,163,255,Florida,3815000,26-30
89,Klay Thompson,Golden State Warriors,11,SG,26,161,215,Washington State,15501000,26-30
90,Anderson Varejao,Golden State Warriors,18,PF,33,179,273,Unknown,289755,31-35
91,Cole Aldrich,Los Angeles Clippers,45,C,27,151,250,Kansas,1100602,26-30
92,Jeff Ayres,Los Angeles Clippers,19,PF,29,173,250,Arizona State,111444,26-30
93,Jamal Crawford,Los Angeles Clippers,11,SG,36,152,195,Michigan,5675000,36-40
94,Branden Dawson,Los Angeles Clippers,22,SF,23,172,225,Michigan State,525093,21-25
95,Jeff Green,Los Angeles Clippers,8,SF,29,177,235,Georgetown,9650000,26-30
96,Blake Griffin,Los Angeles Clippers,32,PF,27,162,251,Oklahoma,18907726,26-30
97,Wesley Johnson,Los Angeles Clippers,33,SF,28,169,215,Syracuse,1100602,26-30
98,DeAndre Jordan,Los Angeles Clippers,6,C,27,154,265,Texas A&M,19689000,26-30
99,Luc Richard Mbah a Moute,Los Angeles Clippers,12,PF,29,178,230,UCLA,947276,26-30
100,Chris Paul,Los Angeles Clippers,3,PG,31,159,175,Wake Forest,21468695,31-35
101,Paul Pierce,Los Angeles Clippers,34,SF,38,178,235,Kansas,3376000,36-40
102,Pablo Prigioni,Los Angeles Clippers,9,PG,39,177,185,Unknown,947726,36-40
103,JJ Redick,Los Angeles Clippers,4,SG,31,165,190,Duke,7085000,31-35
104,Austin Rivers,Los Angeles Clippers,25,PG,23,158,200,Duke,3110796,21-25
105,C.J. Wilcox,Los Angeles Clippers,30,SG,25,165,195,Washington,1159680,21-25
106,Brandon Bass,Los Angeles Lakers,2,PF,31,153,250,LSU,3000000,31-35
107,Tarik Black,Los Angeles Lakers,28,C,24,179,250,Kansas,845059,21-25
108,Anthony Brown,Los Angeles Lakers,3,SF,23,168,210,Stanford,700000,21-25
109,Kobe Bryant,Los Angeles Lakers,24,SF,37,171,212,Unknown,25000000,36-40
110,Jordan Clarkson,Los Angeles Lakers,6,PG,24,174,194,Missouri,845059,21-25
111,Roy Hibbert,Los Angeles Lakers,17,C,29,162,270,Georgetown,15592217,26-30
112,Marcelo Huertas,Los Angeles Lakers,9,PG,33,166,200,Unknown,525093,31-35
113,Ryan Kelly,Los Angeles Lakers,4,PF,25,165,230,Duke,1724250,21-25
114,Larry Nance Jr.,Los Angeles Lakers,7,PF,23,176,230,Wyoming,1155600,21-25
115,Julius Randle,Los Angeles Lakers,30,PF,21,170,250,Kentucky,3132240,21-25
116,D'Angelo Russell,Los Angeles Lakers,1,PG,20,168,195,Ohio State,5103120,15-20
117,Robert Sacre,Los Angeles Lakers,50,C,27,167,270,Gonzaga,981348,26-30
118,Louis Williams,Los Angeles Lakers,23,SG,29,158,175,Unknown,7000000,26-30
119,Metta World Peace,Los Angeles Lakers,37,SF,36,180,260,St. John's,947276,36-40
120,Nick Young,Los Angeles Lakers,0,SF,31,158,210,USC,5219169,31-35
121,Eric Bledsoe,Phoenix Suns,2,PG,26,163,190,Kentucky,13500000,26-30
122,Devin Booker,Phoenix Suns,1,SG,19,155,206,Kentucky,2127840,15-20
123,Chase Budinger,Phoenix Suns,10,SF,28,154,209,Arizona,206192,26-30
124,Tyson Chandler,Phoenix Suns,4,C,33,180,240,Unknown,13000000,31-35
125,Archie Goodwin,Phoenix Suns,20,SG,21,162,200,Kentucky,1160160,21-25
126,John Jenkins,Phoenix Suns,23,SG,25,155,215,Vanderbilt,981348,21-25
127,Brandon Knight,Phoenix Suns,3,PG,24,152,189,Kentucky,13500000,21-25
128,Alex Len,Phoenix Suns,21,C,22,178,260,Maryland,3807120,21-25
129,Jon Leuer,Phoenix Suns,30,PF,27,152,228,Wisconsin,1035000,26-30
130,Phil Pressey,Phoenix Suns,25,PG,25,155,175,Missouri,55722,21-25
131,Ronnie Price,Phoenix Suns,14,PG,32,160,190,Utah Valley,947276,31-35
132,Mirza Teletovic,Phoenix Suns,35,PF,30,170,242,Unknown,5500000,26-30
133,P.J. Tucker,Phoenix Suns,17,SF,31,171,245,Texas,5500000,31-35
134,T.J. Warren,Phoenix Suns,12,SF,22,151,230,North Carolina State,2041080,21-25
135,Alan Williams,Phoenix Suns,15,C,23,164,260,UC Santa Barbara,83397,21-25
136,Quincy Acy,Sacramento Kings,13,SF,25,166,240,Baylor,981348,21-25
137,James Anderson,Sacramento Kings,5,SG,27,158,213,Oklahoma State,1015421,26-30
138,Marco Belinelli,Sacramento Kings,3,SG,30,161,210,Unknown,6060606,26-30
139,Caron Butler,Sacramento Kings,31,SF,36,164,228,Connecticut,1449187,36-40
140,Omri Casspi,Sacramento Kings,18,SF,27,180,225,Unknown,2836186,26-30
141,Willie Cauley-Stein,Sacramento Kings,0,C,22,167,240,Kentucky,3398280,21-25
142,Darren Collison,Sacramento Kings,7,PG,28,158,175,UCLA,5013559,26-30
143,DeMarcus Cousins,Sacramento Kings,15,C,25,164,270,Kentucky,15851950,21-25
144,Seth Curry,Sacramento Kings,30,SG,25,180,185,Duke,947276,21-25
145,Duje Dukan,Sacramento Kings,26,PF,24,153,220,Wisconsin,525093,21-25
146,Rudy Gay,Sacramento Kings,8,SF,29,150,230,Connecticut,12403101,26-30
147,Kosta Koufos,Sacramento Kings,41,C,27,160,265,Ohio State,7700000,26-30
148,Ben McLemore,Sacramento Kings,23,SG,23,151,195,Kansas,3156600,21-25
149,Eric Moreland,Sacramento Kings,25,PF,24,157,238,Oregon State,845059,21-25
150,Rajon Rondo,Sacramento Kings,9,PG,30,156,186,Kentucky,9500000,26-30
151,Cameron Bairstow,Chicago Bulls,41,PF,25,164,250,New Mexico,845059,21-25
152,Aaron Brooks,Chicago Bulls,0,PG,31,173,161,Oregon,2250000,31-35
153,Jimmy Butler,Chicago Bulls,21,SG,26,152,220,Marquette,16407500,26-30
154,Mike Dunleavy,Chicago Bulls,34,SG,35,156,230,Duke,4500000,31-35
155,Cristiano Felicio,Chicago Bulls,6,PF,23,169,275,Unknown,525093,21-25
156,Pau Gasol,Chicago Bulls,16,C,35,166,250,Unknown,7448760,31-35
157,Taj Gibson,Chicago Bulls,22,PF,30,165,225,USC,8500000,26-30
158,Justin Holiday,Chicago Bulls,7,SG,27,150,185,Washington,947276,26-30
159,Doug McDermott,Chicago Bulls,3,SF,24,153,225,Creighton,2380440,21-25
160,Nikola Mirotic,Chicago Bulls,44,PF,25,165,220,Unknown,5543725,21-25
161,E'Twaun Moore,Chicago Bulls,55,SG,27,157,191,Purdue,1015421,26-30
162,Joakim Noah,Chicago Bulls,13,C,31,172,232,Florida,13400000,31-35
163,Bobby Portis,Chicago Bulls,5,PF,21,165,230,Arkansas,1391160,21-25
164,Derrick Rose,Chicago Bulls,1,PG,27,160,190,Memphis,20093064,26-30
165,Tony Snell,Chicago Bulls,20,SF,24,163,200,New Mexico,1535880,21-25
166,Matthew Dellavedova,Cleveland Cavaliers,8,PG,25,151,198,Saint Mary's,1147276,21-25
167,Channing Frye,Cleveland Cavaliers,9,PF,33,173,255,Arizona,8193029,31-35
168,Kyrie Irving,Cleveland Cavaliers,2,PG,24,161,193,Duke,16407501,21-25
169,LeBron James,Cleveland Cavaliers,23,SF,31,180,250,Unknown,22970500,31-35
170,Richard Jefferson,Cleveland Cavaliers,24,SF,35,153,233,Arizona,947276,31-35
171,Dahntay Jones,Cleveland Cavaliers,30,SG,35,176,225,Duke,0,31-35
172,James Jones,Cleveland Cavaliers,1,SG,35,158,218,Miami (FL),947276,31-35
173,Sasha Kaun,Cleveland Cavaliers,14,C,31,173,260,Kansas,1276000,31-35
174,Kevin Love,Cleveland Cavaliers,0,PF,27,168,251,UCLA,19689000,26-30
175,Jordan McRae,Cleveland Cavaliers,12,SG,25,172,179,Tennessee,111196,21-25
176,Timofey Mozgov,Cleveland Cavaliers,20,C,29,153,275,Unknown,4950000,26-30
177,Iman Shumpert,Cleveland Cavaliers,4,SG,25,173,220,Georgia Tech,8988765,21-25
178,J.R. Smith,Cleveland Cavaliers,5,SG,30,167,225,Unknown,5000000,26-30
179,Tristan Thompson,Cleveland Cavaliers,13,C,25,156,238,Texas,14260870,21-25
180,Mo Williams,Cleveland Cavaliers,52,PG,33,159,198,Alabama,2100000,31-35
181,Joel Anthony,Detroit Pistons,50,C,33,171,245,UNLV,2500000,31-35
182,Aron Baynes,Detroit Pistons,12,C,29,173,260,Washington State,6500000,26-30
183,Steve Blake,Detroit Pistons,22,PG,36,158,172,Maryland,2170465,36-40
184,Lorenzo Brown,Detroit Pistons,17,PG,25,157,189,North Carolina State,111444,21-25
185,Reggie Bullock,Detroit Pistons,25,SF,25,177,205,North Carolina,1252440,21-25
186,Kentavious Caldwell-Pope,Detroit Pistons,5,SG,23,153,205,Georgia,2891760,21-25
187,Spencer Dinwiddie,Detroit Pistons,8,PG,23,176,200,Colorado,845059,21-25
188,Andre Drummond,Detroit Pistons,0,C,22,156,279,Connecticut,3272091,21-25
189,Tobias Harris,Detroit Pistons,34,SF,23,159,235,Tennessee,16000000,21-25
190,Darrun Hilliard,Detroit Pistons,6,SF,23,172,205,Villanova,600000,21-25
191,Reggie Jackson,Detroit Pistons,1,PG,26,180,208,Boston College,13913044,26-30
192,Stanley Johnson,Detroit Pistons,3,SF,20,156,245,Arizona,2841960,15-20
193,Jodie Meeks,Detroit Pistons,20,SG,28,163,210,Kentucky,6270000,26-30
194,Marcus Morris,Detroit Pistons,13,PF,26,171,235,Kansas,5000000,26-30
195,Anthony Tolliver,Detroit Pistons,43,PF,31,173,240,Creighton,3000000,31-35
196,Lavoy Allen,Indiana Pacers,5,PF,27,171,255,Temple,4050000,26-30
197,Rakeem Christmas,Indiana Pacers,25,PF,24,167,250,Syracuse,1007026,21-25
198,Monta Ellis,Indiana Pacers,11,SG,30,178,185,Unknown,10300000,26-30
199,Paul George,Indiana Pacers,13,SF,26,157,220,Fresno State,17120106,26-30
200,George Hill,Indiana Pacers,3,PG,30,162,188,IUPUI,8000000,26-30
201,Jordan Hill,Indiana Pacers,27,C,28,155,235,Arizona,4000000,26-30
202,Solomon Hill,Indiana Pacers,44,SF,25,170,225,Arizona,1358880,21-25
203,Ty Lawson,Indiana Pacers,10,PG,28,155,195,North Carolina,211744,26-30
204,Ian Mahinmi,Indiana Pacers,28,C,29,169,250,Unknown,4000000,26-30
205,C.J. Miles,Indiana Pacers,0,SF,29,155,231,Unknown,4394225,26-30
206,Glenn Robinson III,Indiana Pacers,40,SG,22,157,222,Michigan,1100000,21-25
207,Rodney Stuckey,Indiana Pacers,2,PG,30,173,205,Eastern Washington,7000000,26-30
208,Myles Turner,Indiana Pacers,33,PF,20,172,243,Texas,2357760,15-20
209,Shayne Whittington,Indiana Pacers,42,PF,25,174,250,Western Michigan,845059,21-25
210,Joe Young,Indiana Pacers,1,PG,23,161,180,Oregon,1007026,21-25
211,Giannis Antetokounmpo,Milwaukee Bucks,34,SF,21,158,222,Unknown,1953960,21-25
212,Jerryd Bayless,Milwaukee Bucks,19,PG,27,177,200,Arizona,3000000,26-30
213,Michael Carter-Williams,Milwaukee Bucks,5,PG,24,174,190,Syracuse,2399040,21-25
214,Jared Cunningham,Milwaukee Bucks,9,SG,25,152,195,Oregon State,947276,21-25
215,Tyler Ennis,Milwaukee Bucks,11,PG,21,177,194,Syracuse,1662360,21-25
216,John Henson,Milwaukee Bucks,31,PF,25,170,229,North Carolina,2943221,21-25
217,Damien Inglis,Milwaukee Bucks,17,SF,21,175,246,Unknown,855000,21-25
218,O.J. Mayo,Milwaukee Bucks,3,SG,28,174,210,USC,8000000,26-30
219,Khris Middleton,Milwaukee Bucks,22,SG,24,152,234,Texas A&M,14700000,21-25
220,Greg Monroe,Milwaukee Bucks,15,C,26,173,265,Georgetown,16407500,26-30
221,Steve Novak,Milwaukee Bucks,6,SF,32,151,225,Marquette,295327,31-35
222,Johnny O'Bryant III,Milwaukee Bucks,77,PF,23,179,257,LSU,845059,21-25
223,Jabari Parker,Milwaukee Bucks,12,PF,21,169,250,Duke,5152440,21-25
224,Miles Plumlee,Milwaukee Bucks,18,C,27,166,249,Duke,2109294,26-30
225,Greivis Vasquez,Milwaukee Bucks,21,PG,29,150,217,Maryland,6600000,26-30
226,Rashad Vaughn,Milwaukee Bucks,20,SG,19,150,202,UNLV,1733040,15-20
227,Justin Anderson,Dallas Mavericks,1,SG,22,153,228,Virginia,1449000,21-25
228,J.J. Barea,Dallas Mavericks,5,PG,31,150,185,Northeastern,4290000,31-35
229,Jeremy Evans,Dallas Mavericks,21,SF,28,166,200,Western Kentucky,1100602,26-30
230,Raymond Felton,Dallas Mavericks,2,PG,31,155,205,North Carolina,3950313,31-35
231,Devin Harris,Dallas Mavericks,34,PG,33,153,185,Wisconsin,4053446,31-35
232,David Lee,Dallas Mavericks,42,PF,33,172,245,Florida,2085671,31-35
233,Wesley Matthews,Dallas Mavericks,23,SG,29,161,220,Marquette,16407500,26-30
234,JaVale McGee,Dallas Mavericks,11,C,28,152,270,Nevada,1270964,26-30
235,Salah Mejri,Dallas Mavericks,50,C,29,152,245,Unknown,525093,26-30
236,Dirk Nowitzki,Dallas Mavericks,41,PF,37,154,245,Unknown,8333334,36-40
237,Zaza Pachulia,Dallas Mavericks,27,C,32,179,275,Unknown,5200000,31-35
238,Chandler Parsons,Dallas Mavericks,25,SF,27,163,230,Florida,15361500,26-30
239,Dwight Powell,Dallas Mavericks,7,PF,24,169,240,Stanford,845059,21-25
240,Charlie Villanueva,Dallas Mavericks,3,PF,31,180,232,Connecticut,947276,31-35
241,Deron Williams,Dallas Mavericks,8,PG,31,157,200,Illinois,5378974,31-35
242,Trevor Ariza,Houston Rockets,1,SF,30,155,215,UCLA,8193030,26-30
243,Michael Beasley,Houston Rockets,8,SF,27,157,235,Kansas State,306527,26-30
244,Patrick Beverley,Houston Rockets,2,PG,27,179,185,Arkansas,6486486,26-30
245,Corey Brewer,Houston Rockets,33,SG,30,161,186,Florida,8229375,26-30
246,Clint Capela,Houston Rockets,15,PF,22,153,240,Unknown,1242720,21-25
247,Sam Dekker,Houston Rockets,7,SF,22,179,230,Wisconsin,1646400,21-25
248,Andrew Goudelock,Houston Rockets,0,PG,27,178,200,Charleston,200600,26-30
249,James Harden,Houston Rockets,13,SG,26,173,220,Arizona State,15756438,26-30
250,Montrezl Harrell,Houston Rockets,35,PF,22,178,240,Louisville,1000000,21-25
251,Dwight Howard,Houston Rockets,12,C,30,175,265,Unknown,22359364,26-30
252,Terrence Jones,Houston Rockets,6,PF,24,177,252,Kentucky,2489530,21-25
253,K.J. McDaniels,Houston Rockets,32,SG,23,169,205,Clemson,3189794,21-25
254,Donatas Motiejunas,Houston Rockets,20,PF,25,153,222,Unknown,2288205,21-25
255,Josh Smith,Houston Rockets,5,C,30,168,225,Unknown,947276,26-30
256,Jason Terry,Houston Rockets,31,SG,38,177,185,Arizona,947276,36-40
257,Jordan Adams,Memphis Grizzlies,3,SG,21,168,209,UCLA,1404600,21-25
258,Tony Allen,Memphis Grizzlies,9,SG,34,151,213,Oklahoma State,5158539,31-35
259,Chris Andersen,Memphis Grizzlies,7,PF,37,169,245,Blinn College,5000000,36-40
260,Matt Barnes,Memphis Grizzlies,22,SF,36,176,226,UCLA,3542500,36-40
261,Vince Carter,Memphis Grizzlies,15,SG,39,171,220,North Carolina,4088019,36-40
262,Mike Conley,Memphis Grizzlies,11,PG,28,152,175,Ohio State,9588426,26-30
263,Bryce Cotton,Memphis Grizzlies,8,PG,23,166,165,Providence,700902,21-25
264,Jordan Farmar,Memphis Grizzlies,4,PG,29,173,180,UCLA,0,26-30
265,Marc Gasol,Memphis Grizzlies,33,C,31,174,255,Unknown,19688000,31-35
266,JaMychal Green,Memphis Grizzlies,0,PF,25,158,227,Alabama,845059,21-25
267,P.J. Hairston,Memphis Grizzlies,19,SF,23,152,230,North Carolina,1201440,21-25
268,Jarell Martin,Memphis Grizzlies,10,PF,22,170,239,LSU,1230840,21-25
269,Ray McCallum,Memphis Grizzlies,5,PG,24,179,190,Detroit,0,21-25
270,Xavier Munford,Memphis Grizzlies,14,PG,24,163,180,Rhode Island,0,21-25
271,Zach Randolph,Memphis Grizzlies,50,PF,34,169,260,Michigan State,9638555,31-35
272,Lance Stephenson,Memphis Grizzlies,1,SF,25,151,230,Cincinnati,9000000,21-25
273,Alex Stepheson,Memphis Grizzlies,35,PF,28,154,270,USC,0,26-30
274,Brandan Wright,Memphis Grizzlies,34,PF,28,170,210,North Carolina,5464000,26-30
275,Alexis Ajinca,New Orleans Pelicans,42,C,28,159,248,Unknown,4389607,26-30
276,Ryan Anderson,New Orleans Pelicans,33,PF,28,155,240,California,8500000,26-30
277,Omer Asik,New Orleans Pelicans,3,C,29,164,255,Unknown,9213483,26-30
278,Luke Babbitt,New Orleans Pelicans,8,SF,26,166,225,Nevada,1100602,26-30
279,Norris Cole,New Orleans Pelicans,30,PG,27,163,175,Cleveland State,3036927,26-30
280,Dante Cunningham,New Orleans Pelicans,44,PF,29,156,230,Villanova,2850000,26-30
281,Anthony Davis,New Orleans Pelicans,23,PF,23,166,253,Kentucky,7070730,21-25
282,Bryce Dejean-Jones,New Orleans Pelicans,31,SG,23,176,203,Iowa State,169883,21-25
283,Toney Douglas,New Orleans Pelicans,16,PG,30,161,195,Florida State,1164858,26-30
284,James Ennis,New Orleans Pelicans,4,SF,25,176,210,Long Beach State,845059,21-25
285,Tyreke Evans,New Orleans Pelicans,1,SG,26,158,220,Memphis,10734586,26-30
286,Tim Frazier,New Orleans Pelicans,2,PG,25,167,170,Penn State,845059,21-25
287,Alonzo Gee,New Orleans Pelicans,15,SF,29,176,225,Alabama,1320000,26-30
288,Eric Gordon,New Orleans Pelicans,10,SG,27,172,215,Indiana,15514031,26-30
289,Jordan Hamilton,New Orleans Pelicans,25,SG,25,152,220,Texas,1015421,21-25
290,Jrue Holiday,New Orleans Pelicans,11,PG,25,171,205,UCLA,10595507,21-25
291,Orlando Johnson,New Orleans Pelicans,0,SG,27,178,220,UC Santa Barbara,55722,26-30
292,Kendrick Perkins,New Orleans Pelicans,5,C,31,166,270,Unknown,947276,31-35
293,Quincy Pondexter,New Orleans Pelicans,20,SF,28,163,220,Washington,3382023,26-30
294,LaMarcus Aldridge,San Antonio Spurs,12,PF,30,164,240,Texas,19689000,26-30
295,Kyle Anderson,San Antonio Spurs,1,SF,22,176,230,UCLA,1142880,21-25
296,Matt Bonner,San Antonio Spurs,15,C,36,176,235,Florida,947276,36-40
297,Boris Diaw,San Antonio Spurs,33,C,34,177,250,Unknown,7500000,31-35
298,Tim Duncan,San Antonio Spurs,21,C,40,153,250,Wake Forest,5250000,36-40
299,Manu Ginobili,San Antonio Spurs,20,SG,38,159,205,Unknown,2814000,36-40
300,Danny Green,San Antonio Spurs,14,SG,28,151,215,North Carolina,10000000,26-30
301,Kawhi Leonard,San Antonio Spurs,2,SF,24,162,230,San Diego State,16407500,21-25
302,Boban Marjanovic,San Antonio Spurs,40,C,27,175,290,Unknown,1200000,26-30
303,Kevin Martin,San Antonio Spurs,23,SG,33,169,199,Western Carolina,200600,31-35
304,Andre Miller,San Antonio Spurs,24,PG,40,160,200,Utah,250750,36-40
305,Patty Mills,San Antonio Spurs,8,PG,27,168,185,Saint Mary's,3578947,26-30
306,Tony Parker,San Antonio Spurs,9,PG,34,173,185,Unknown,13437500,31-35
307,Jonathon Simmons,San Antonio Spurs,17,SG,26,159,195,Houston,525093,26-30
308,David West,San Antonio Spurs,30,PF,35,157,250,Xavier,1499187,31-35
309,Kent Bazemore,Atlanta Hawks,24,SF,26,174,201,Old Dominion,2000000,26-30
310,Tim Hardaway Jr.,Atlanta Hawks,10,SG,24,178,205,Michigan,1304520,21-25
311,Kirk Hinrich,Atlanta Hawks,12,SG,35,157,190,Kansas,2854940,31-35
312,Al Horford,Atlanta Hawks,15,C,30,170,245,Florida,12000000,26-30
313,Kris Humphries,Atlanta Hawks,43,PF,31,153,235,Minnesota,1000000,31-35
